index,Consumption,Solar,Wind,hour,day,month,weekday,lag_1,lag_24,lag_48,lag_72,Predicted_Consumption,Total_Generation,Energy_Difference,Battery_Level,Grid_Usage
2020-10-24 18:00:00,30.817582222,0.0,0.0,18,24,10,5,24.798297778,31.03286,27.007888889,23.893337778000003,29.78863747982187,0.0,-29.78863747982187,0.0,29.78863747982187
2020-10-24 19:00:00,26.371866667,0.0,0.0,19,24,10,5,30.817582222,28.307862222,25.854195556,30.555384444,29.538804182387594,0.0,-29.538804182387594,0.0,29.538804182387594
2020-10-24 20:00:00,24.290977778,0.0,0.0,20,24,10,5,26.371866667,25.561228889,26.933817778,29.430193333,22.789941533621686,0.0,-22.789941533621686,0.0,22.789941533621686
2020-10-24 21:00:00,23.354651111,0.0,0.0,21,24,10,5,24.290977778,26.286453333,22.583137778,25.511062222,21.92973669213369,0.0,-21.92973669213369,0.0,21.92973669213369
2020-10-24 22:00:00,19.463415556,0.0,0.0,22,24,10,5,23.354651111,27.54456,19.275417778,15.957773333,20.135350996700012,0.0,-20.135350996700012,0.0,20.135350996700012
2020-10-24 23:00:00,17.713913333,0.0,10.62,23,24,10,5,19.463415556,23.696355556,18.773273333,15.385711111,17.660056386120555,10.62,-7.040056386120556,0.0,7.040056386120556
2020-10-25 00:00:00,18.857146667,0.0,28.69,0,25,10,6,17.713913333,21.725653333,19.993902222,19.382195556,18.317538089197942,28.69,10.372461910802059,10.372461910802059,0.0
2020-10-25 01:00:00,18.907073333,0.0,16.02,1,25,10,6,18.857146667,20.672837778,19.950575556,20.039702222,18.5202726870604,16.02,-2.500272687060402,7.872189223741657,0.0
2020-10-25 02:00:00,22.224006667,0.0,37.7,2,25,10,6,18.907073333,22.023182222,25.149137778000004,20.990922222,19.632233221556305,37.7,18.067766778443698,25.939956002185355,0.0
2020-10-25 03:00:00,19.556937778,0.0,62.58,3,25,10,6,22.224006667,18.773068889,18.474293333,15.691683333,19.904753475250136,62.58,42.675246524749866,68.61520252693522,0.0
2020-10-25 04:00:00,15.944488889,0.0,16.51,4,25,10,6,19.556937778,19.909524444,18.044722222,18.213892222,17.829116273457643,16.51,-1.3191162734576416,67.29608625347758,0.0
2020-10-25 05:00:00,15.913186667,0.0,60.73,5,25,10,6,15.944488889,22.518517778000003,20.63142,22.70284,18.549377743679837,60.73,42.18062225632016,100.0,0.0
2020-10-25 06:00:00,18.497151111,0.0,48.75,6,25,10,6,15.913186667,23.179024444,26.005255556,25.588833333,20.12735553102217,48.75,28.62264446897783,100.0,0.0
2020-10-25 07:00:00,26.509191111,0.2642501,43.38,7,25,10,6,18.497151111,28.814844444,30.213026667,25.899882222,23.83872763054928,43.6442501,19.80552246945072,100.0,0.0
2020-10-25 08:00:00,25.040128889,2.0308333000000003,65.43,8,25,10,6,26.509191111,27.931531111,28.399253333,25.366675556,24.342301658261633,67.4608333,43.11853164173837,100.0,0.0
